Win32_Product: Visual C++ MSBuild X64 Package (IdentifyingNumber = "{EE527713-BE8A-348A-8854-DACBCE5316F2}", Name = "Visual C?? MSBuild X64 Package", Version = "14.0.25420")
Win32_Product: Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24215 (IdentifyingNumber = "{50A2BC33-C9CD-3BF1-A8FF-53C10A0B183C}", Name = "Microsoft Visual C?? 2015 x64 Minimum R..., Version = "14.0.24215")
Win32_Product: Visual Studio 2012 Verification SDK (IdentifyingNumber = "{A3BCFD43-58D6-3132-A7DF-16CE04672372}", Name = "Visual Studio 2012 Verification SDK", Version = "14.0.25420")
Win32_Product: SQL Server 2016 Database Engine Shared (IdentifyingNumber = "{81CABA93-27C0-4BD9-9B5E-227C76B59F46}", Name = "SQL Server 2016 Database Engine Shared", Version = "13.1.4001.0")
Win32_Product: Microsoft .NET Version Manager (x64) 1.0.0-beta5 (IdentifyingNumber = "{C5A4ABA3-1ABA-3EF8-B2D5-C3FA37F59738}", Name = "Microsoft .NET Version Manager (x64) 1...., Version = "1.0.10609.0")
Win32_Product: Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610 (IdentifyingNumber = "{2EDC2FA3-1F34-34E5-9085-588C9EFD1CC6}", Name = "Microsoft Visual C?? 2012 x64 Minimum R..., Version = "11.0.60610")
Win32_Product: SQL Server 2016 Database Engine Services (IdentifyingNumber = "{0C457EC3-E998-4041-B856-908D5A2C1708}", Name = "SQL Server 2016 Database Engine Service..., Version = "13.1.4001.0")
Win32_Product: Visual Studio Installer Projects Extension (IdentifyingNumber = "{50C654D3-C6A5-4BCF-BE5D-5F56A1C64270}", Name = "Visual Studio Installer Projects Extens..., Version = "14.0.23205")
Win32_Product: Microsoft ASP.NET Web Pages 2 - Visual Studio 2015 - ENU (IdentifyingNumber = "{65A12DD3-9992-47D2-8BA2-510CA59F893F}", Name = "Microsoft ASP.NET Web Pages 2 - Visual ..., Version = "4.1.41102.0")
Win32_Product: Microsoft .NET Core 5.0 SDK (IdentifyingNumber = "{E092A9F3-15AE-46B4-9A25-6C25F7F44795}", Name = "Microsoft .NET Core 5.0 SDK", Version = "1.0.23902")
Win32_Product: Visual C++ IDE Core Professional Plus Resource Package (IdentifyingNumber = "{D1201DF3-F934-342A-A586-2B255CB8B215}", Name = "Visual C?? IDE Core Professional Plus R..., Version = "14.0.25420")
Win32_Product: Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - x86 (IdentifyingNumber = "{35B1EDF3-63B5-4908-989D-6F62DBA02C58}", Name = "Microsoft Visual Studio 2015 Update 3 D..., Version = "14.0.25420")
Win32_Product: Windows Software Development Kit for Windows Store Apps DirectX x86 Remote (IdentifyingNumber = "{56AD3004-0B49-967F-F682-B05650B61A78}", Name = "Windows Software Development Kit for Wi..., Version = "8.100.26936")
Win32_Product: Microsoft SQL Server 2008 Setup Support Files  (IdentifyingNumber = "{6292D514-17A4-403F-98F9-E150F10C043D}", Name = "Microsoft SQL Server 2008 Setup Support..., Version = "10.3.5500.0")
Win32_Product: GoPro (IdentifyingNumber = "{11994124-739A-42BB-A6D2-3AC95355BDC6}", Name = "GoPro", Version = "0.1.2371")
Win32_Product: TypeScript Power Tool (IdentifyingNumber = "{465ACA24-B8D6-4FEC-A42D-9EFCB92CD560}", Name = "TypeScript Power Tool", Version = "1.8.34.0")
Win32_Product: NVIDIA PhysX (IdentifyingNumber = "{F0AE9B24-416F-4CAA-8519-75CABCDAC61A}", Name = "NVIDIA PhysX", Version = "9.13.0927")
Win32_Product: Microsoft Visual Studio 2015 XAML Visual Diagnostics - ENU (IdentifyingNumber = "{8BD56634-6B9E-4CDA-8857-C73F20F57907}", Name = "Microsoft Visual Studio 2015 XAML Visua..., Version = "14.0.25420")
Win32_Product: Microsoft System CLR Types for SQL Server 2016 (IdentifyingNumber = "{96EB5054-C775-4BEF-B7B9-AA96A295EDCD}", Name = "Microsoft System CLR Types for SQL Serv..., Version = "13.0.1601.5")
Win32_Product: MSBuild/NuGet Integration 14.0 (x86) (IdentifyingNumber = "{128C1654-3B9E-4959-8BFB-CE6F09C0A01D}", Name = "MSBuild/NuGet Integration 14.0 (x86)", Version = "14.0.25420")
Win32_Product: Prerequisites for SSDT  (IdentifyingNumber = "{21373064-AD95-48DB-A32E-0D9E08EF7355}", Name = "Prerequisites for SSDT ", Version = "12.0.2000.8")
Win32_Product: Visual C++ IDE Core Professional Plus Resource Package (IdentifyingNumber = "{B2321364-E928-325D-A954-933D35239BE5}", Name = "Visual C?? IDE Core Professional Plus R..., Version = "14.0.25420")
Win32_Product: Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24215 (IdentifyingNumber = "{BBF2AC74-720C-3CB3-8291-5E34039232FA}", Name = "Microsoft Visual C?? 2015 x86 Minimum R..., Version = "14.0.24215")
Win32_Product: Microsoft Visual Studio 2010 Shell (Isolated) - ENU (IdentifyingNumber = "{D64B6984-242F-32BC-B008-752806E5FC44}", Name = "Microsoft Visual Studio 2010 Shell (Iso..., Version = "10.0.40219")
Win32_Product: Visual C++ MSBuild Base Package (IdentifyingNumber = "{35433594-85A3-3EEA-963E-0E5E860B82D6}", Name = "Visual C?? MSBuild Base Package", Version = "14.0.25420")
Win32_Product: Microsoft VSS Writer for SQL Server 2016 (IdentifyingNumber = "{3E013EB4-FF9E-4CCA-BAB6-318932614FAE}", Name = "Microsoft VSS Writer for SQL Server 201..., Version = "13.1.4001.0")
Win32_Product: Microsoft Azure Mobile Services Tools for Visual Studio - v1.4 (IdentifyingNumber = "{5536AAD4-740A-4577-843D-4281D3F30726}", Name = "Microsoft Azure Mobile Services Tools f..., Version = "1.4.30611.1601")
Win32_Product: Visual C++ IDE Professional Core Package (IdentifyingNumber = "{C67257E4-F24C-3C35-86BB-E9B7D5D4D9FB}", Name = "Visual C?? IDE Professional Core Packag..., Version = "14.0.25420")
Win32_Product: Java 8 Update 144 (IdentifyingNumber = "{26A24AE4-039D-4CA4-87B4-2F32180144F0}", Name = "Java 8 Update 144", Version = "8.0.1440.1")
Win32_Product: Java 8 Update 144 (64-bit) (IdentifyingNumber = "{26A24AE4-039D-4CA4-87B4-2F64180144F0}", Name = "Java 8 Update 144 (64-bit)", Version = "8.0.1440.1")
Win32_Product: Java 8 Update 60 (64-bit) (IdentifyingNumber = "{26A24AE4-039D-4CA4-87B4-2F86418060F0}", Name = "Java 8 Update 60 (64-bit)", Version = "8.0.600.27")
Win32_Product: Dependency Package Update (IdentifyingNumber = "{E966DBE4-5075-465E-BA81-BC9A3A3204B3}", Name = "Dependency Package Update", Version = "1.6.32.00")
Win32_Product: Java SE Development Kit 8 Update 144 (64-bit) (IdentifyingNumber = "{64A3A4F4-B792-11D6-A78A-00B0D0180144}", Name = "Java SE Development Kit 8 Update 144 (6..., Version = "8.0.1440.1")
Win32_Product: Java SE Development Kit 8 Update 60 (64-bit) (IdentifyingNumber = "{64A3A4F4-B792-11D6-A78A-00B0D0180600}", Name = "Java SE Development Kit 8 Update 60 (64..., Version = "8.0.600.27")
Win32_Product: Java SE Development Kit 8 Update 72 (64-bit) (IdentifyingNumber = "{64A3A4F4-B792-11D6-A78A-00B0D0180720}", Name = "Java SE Development Kit 8 Update 72 (64..., Version = "8.0.720.15")
Win32_Product: Microsoft SQL Server 2008 R2 Management Objects (IdentifyingNumber = "{83F2B8F4-5CF3-4BE9-9772-9543EAE4AC5F}", Name = "Microsoft SQL Server 2008 R2 Management..., Version = "10.51.2500.0")
Win32_Product: Visual C++ IDE Core Professional Plus Resource Package (IdentifyingNumber = "{33DA2215-AF20-3F21-A171-57F0533A5CAF}", Name = "Visual C?? IDE Core Professional Plus R..., Version = "14.0.25420")
Win32_Product: Visual C++ Compiler/Tools X86 Base Package (IdentifyingNumber = "{BFEC9D45-BAD4-3D7C-B6A7-887D21E6C25A}", Name = "Visual C?? Compiler/Tools X86 Base Pack..., Version = "14.0.24210")
Win32_Product: VFW_Codec32 (IdentifyingNumber = "{32223B55-ECE6-4093-971B-D176C4A4C89A}", Name = "VFW_Codec32", Version = "0.1.160.0")
Win32_Product: iTunes (IdentifyingNumber = "{A31C5565-90D9-4615-AE13-94D86C3836C7}", Name = "iTunes", Version = "12.3.3.17")
Win32_Product: Microsoft System CLR Types for SQL Server 2014 (IdentifyingNumber = "{718FFB65-F6E4-4D62-861F-ED10ED32C936}", Name = "Microsoft System CLR Types for SQL Serv..., Version = "12.0.2402.11")
Win32_Product: Microsoft SQL Server 2016 T-SQL Language Service  (IdentifyingNumber = "{8BFDE775-C5B8-46DB-84EF-43FFC8A2E8AD}", Name = "Microsoft SQL Server 2016 T-SQL Languag..., Version = "13.0.14500.10")
Win32_Product: GoPro Studio (IdentifyingNumber = "{BCBF5E75-C1AD-4169-A70C-3A0BD9A7F9CF}", Name = "GoPro Studio", Version = "5.8.2371")
Win32_Product: Browser for SQL Server 2016 (IdentifyingNumber = "{5B860485-0F07-41DC-BA8C-3A839A141FBA}", Name = "Browser for SQL Server 2016", Version = "13.1.4001.0")
Win32_Product: Microsoft Visual Studio 2015 Shell (Minimum) (IdentifyingNumber = "{030A6785-C3A9-37DA-8530-444C320629FA}", Name = "Microsoft Visual Studio 2015 Shell (Min..., Version = "14.0.23107")
Win32_Product: Microsoft Portable Library Multi-Targeting Pack (IdentifyingNumber = "{09D51995-D17C-35E4-9143-314298EB5155}", Name = "Microsoft Portable Library Multi-Target..., Version = "14.0.25431.01")
Win32_Product: Microsoft Visual Studio 2015 XAML Designer (IdentifyingNumber = "{D9CAC4A5-7F4C-3792-90F1-C93F4FDB4120}", Name = "Microsoft Visual Studio 2015 XAML Desig..., Version = "14.0.25431")
Win32_Product: Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610 (IdentifyingNumber = "{764384C5-BCA9-307C-9AAC-FD443662686A}", Name = "Microsoft Visual C?? 2012 x64 Additiona..., Version = "11.0.60610")
Win32_Product: Visual C++ MSBuild X86 Package (IdentifyingNumber = "{8CB498C5-672B-3F6C-9143-84B0BBC1EAB3}", Name = "Visual C?? MSBuild X86 Package", Version = "14.0.25420")
Win32_Product: SQL Server 2016 Connection Info (IdentifyingNumber = "{74940EE5-66DB-42E3-AC30-295D13B461A7}", Name = "SQL Server 2016 Connection Info", Version = "13.0.14500.10")
